weights_tuple,weights_pretty
"(0.05, 0.25, 0.15, 0.25, 0.3)","(5%, 25%, 15%, 25%, 30%)"
"(0.05, 0.25, 0.15, 0.3, 0.25)","(5%, 25%, 15%, 30%, 25%)"
"(0.05, 0.25, 0.2, 0.2, 0.3)","(5%, 25%, 20%, 20%, 30%)"
"(0.05, 0.25, 0.2, 0.25, 0.25)","(5%, 25%, 20%, 25%, 25%)"
"(0.05, 0.25, 0.2, 0.3, 0.2)","(5%, 25%, 20%, 30%, 20%)"
"(0.05, 0.25, 0.25, 0.15, 0.3)","(5%, 25%, 25%, 15%, 30%)"
"(0.05, 0.25, 0.25, 0.2, 0.25)","(5%, 25%, 25%, 20%, 25%)"
"(0.05, 0.25, 0.25, 0.25, 0.2)","(5%, 25%, 25%, 25%, 20%)"
"(0.05, 0.25, 0.25, 0.3, 0.15)","(5%, 25%, 25%, 30%, 15%)"
"(0.05, 0.25, 0.3, 0.1, 0.3)","(5%, 25%, 30%, 10%, 30%)"
"(0.05, 0.25, 0.3, 0.15, 0.25)","(5%, 25%, 30%, 15%, 25%)"
"(0.05, 0.25, 0.3, 0.2, 0.2)","(5%, 25%, 30%, 20%, 20%)"
"(0.05, 0.25, 0.3, 0.25, 0.15)","(5%, 25%, 30%, 25%, 15%)"
"(0.05, 0.25, 0.3, 0.3, 0.1)","(5%, 25%, 30%, 30%, 10%)"
"(0.05, 0.3, 0.05, 0.3, 0.3)","(5%, 30%, 5%, 30%, 30%)"
"(0.05, 0.3, 0.1, 0.25, 0.3)","(5%, 30%, 10%, 25%, 30%)"
"(0.05, 0.3, 0.1, 0.3, 0.25)","(5%, 30%, 10%, 30%, 25%)"
"(0.05, 0.3, 0.15, 0.2, 0.3)","(5%, 30%, 15%, 20%, 30%)"
"(0.05, 0.3, 0.15, 0.25, 0.25)","(5%, 30%, 15%, 25%, 25%)"
"(0.05, 0.3, 0.15, 0.3, 0.2)","(5%, 30%, 15%, 30%, 20%)"
"(0.05, 0.3, 0.2, 0.15, 0.3)","(5%, 30%, 20%, 15%, 30%)"
"(0.05, 0.3, 0.2, 0.2, 0.25)","(5%, 30%, 20%, 20%, 25%)"
"(0.05, 0.3, 0.2, 0.25, 0.2)","(5%, 30%, 20%, 25%, 20%)"
"(0.05, 0.3, 0.2, 0.3, 0.15)","(5%, 30%, 20%, 30%, 15%)"
"(0.05, 0.3, 0.25, 0.1, 0.3)","(5%, 30%, 25%, 10%, 30%)"
"(0.05, 0.3, 0.25, 0.15, 0.25)","(5%, 30%, 25%, 15%, 25%)"
"(0.05, 0.3, 0.25, 0.2, 0.2)","(5%, 30%, 25%, 20%, 20%)"
"(0.05, 0.3, 0.25, 0.25, 0.15)","(5%, 30%, 25%, 25%, 15%)"
"(0.05, 0.3, 0.25, 0.3, 0.1)","(5%, 30%, 25%, 30%, 10%)"
"(0.05, 0.3, 0.3, 0.05, 0.3)","(5%, 30%, 30%, 5%, 30%)"
"(0.05, 0.3, 0.3, 0.1, 0.25)","(5%, 30%, 30%, 10%, 25%)"
"(0.05, 0.3, 0.3, 0.15, 0.2)","(5%, 30%, 30%, 15%, 20%)"
"(0.05, 0.3, 0.3, 0.2, 0.15)","(5%, 30%, 30%, 20%, 15%)"
"(0.05, 0.3, 0.3, 0.25, 0.1)","(5%, 30%, 30%, 25%, 10%)"
"(0.05, 0.3, 0.3, 0.3, 0.05)","(5%, 30%, 30%, 30%, 5%)"
"(0.1, 0.0, 0.3, 0.3, 0.3)","(10%, 0%, 30%, 30%, 30%)"
"(0.1, 0.05, 0.25, 0.3, 0.3)","(10%, 5%, 25%, 30%, 30%)"
"(0.1, 0.05, 0.3, 0.25, 0.3)","(10%, 5%, 30%, 25%, 30%)"
"(0.1, 0.05, 0.3, 0.3, 0.25)","(10%, 5%, 30%, 30%, 25%)"
"(0.1, 0.1, 0.2, 0.3, 0.3)","(10%, 10%, 20%, 30%, 30%)"
"(0.1, 0.1, 0.25, 0.25, 0.3)","(10%, 10%, 25%, 25%, 30%)"
"(0.1, 0.1, 0.25, 0.3, 0.25)","(10%, 10%, 25%, 30%, 25%)"
"(0.1, 0.1, 0.3, 0.2, 0.3)","(10%, 10%, 30%, 20%, 30%)"
"(0.1, 0.1, 0.3, 0.25, 0.25)","(10%, 10%, 30%, 25%, 25%)"
"(0.1, 0.1, 0.3, 0.3, 0.2)","(10%, 10%, 30%, 30%, 20%)"
"(0.1, 0.15, 0.15, 0.3, 0.3)","(10%, 15%, 15%, 30%, 30%)"
"(0.1, 0.15, 0.2, 0.25, 0.3)","(10%, 15%, 20%, 25%, 30%)"
"(0.1, 0.15, 0.2, 0.3, 0.25)","(10%, 15%, 20%, 30%, 25%)"
"(0.1, 0.15, 0.25, 0.2, 0.3)","(10%, 15%, 25%, 20%, 30%)"
"(0.1, 0.15, 0.25, 0.25, 0.25)","(10%, 15%, 25%, 25%, 25%)"
"(0.1, 0.15, 0.25, 0.3, 0.2)","(10%, 15%, 25%, 30%, 20%)"
"(0.1, 0.15, 0.3, 0.15, 0.3)","(10%, 15%, 30%, 15%, 30%)"
"(0.1, 0.15, 0.3, 0.2, 0.25)","(10%, 15%, 30%, 20%, 25%)"
"(0.1, 0.15, 0.3, 0.25, 0.2)","(10%, 15%, 30%, 25%, 20%)"
"(0.1, 0.15, 0.3, 0.3, 0.15)","(10%, 15%, 30%, 30%, 15%)"
"(0.1, 0.2, 0.1, 0.3, 0.3)","(10%, 20%, 10%, 30%, 30%)"
"(0.1, 0.2, 0.15, 0.25, 0.3)","(10%, 20%, 15%, 25%, 30%)"
"(0.1, 0.2, 0.15, 0.3, 0.25)","(10%, 20%, 15%, 30%, 25%)"
"(0.1, 0.2, 0.2, 0.2, 0.3)","(10%, 20%, 20%, 20%, 30%)"
"(0.1, 0.2, 0.2, 0.25, 0.25)","(10%, 20%, 20%, 25%, 25%)"
"(0.1, 0.2, 0.2, 0.3, 0.2)","(10%, 20%, 20%, 30%, 20%)"
"(0.1, 0.2, 0.25, 0.15, 0.3)","(10%, 20%, 25%, 15%, 30%)"
"(0.1, 0.2, 0.25, 0.2, 0.25)","(10%, 20%, 25%, 20%, 25%)"
"(0.1, 0.2, 0.25, 0.25, 0.2)","(10%, 20%, 25%, 25%, 20%)"
"(0.1, 0.2, 0.25, 0.3, 0.15)","(10%, 20%, 25%, 30%, 15%)"
"(0.1, 0.2, 0.3, 0.1, 0.3)","(10%, 20%, 30%, 10%, 30%)"
"(0.1, 0.2, 0.3, 0.15, 0.25)","(10%, 20%, 30%, 15%, 25%)"
"(0.1, 0.2, 0.3, 0.2, 0.2)","(10%, 20%, 30%, 20%, 20%)"
"(0.1, 0.2, 0.3, 0.25, 0.15)","(10%, 20%, 30%, 25%, 15%)"
"(0.1, 0.2, 0.3, 0.3, 0.1)","(10%, 20%, 30%, 30%, 10%)"
"(0.1, 0.25, 0.05, 0.3, 0.3)","(10%, 25%, 5%, 30%, 30%)"
"(0.1, 0.25, 0.1, 0.25, 0.3)","(10%, 25%, 10%, 25%, 30%)"
"(0.1, 0.25, 0.1, 0.3, 0.25)","(10%, 25%, 10%, 30%, 25%)"
