Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,weights_tuple,distance_l1,annualized_return,annualized_volatility,sharpe_zero_rf,required_annual_return,full_history_terminal_wealth,full_history_max_drawdown_pct_peak,full_history_max_drawdown_pct_initial,monthly_var_99_empirical,meets_return_goal_average,rolling_windows,rolling_mean_terminal_wealth,rolling_median_terminal_wealth,rolling_worst_terminal_wealth,rolling_best_terminal_wealth,rolling_target_hit_rate,rolling_drawdown_safe_rate,rolling_worst_drawdown_pct_initial,rolling_best_drawdown_pct_initial,meets_target_goal_99pct,meets_drawdown_goal_99pct,meets_all_goals_99pct
0.3,0.14,0.04,0.23,0.29,"(0.3, 0.14, 0.04, 0.23, 0.29)",0.08000000000000002,0.05490803873116268,0.04816174501995705,1.140075774007153,0.0601580065221875,27485236.407769583,-0.11406858333468739,-0.14853115524584656,0.03544613007955897,0.0,61.0,23021433.00479185,23266777.456460472,20363083.12040798,24558828.076707765,0.6885245901639344,1.0,-0.14968197954264512,-0.06721777789381622,0.0,1.0,0.0
0.3,0.14,0.04,0.24,0.28,"(0.3, 0.14, 0.04, 0.24, 0.28)",0.07999999999999999,0.05479748302949794,0.04792106449687614,1.1434946949701015,0.0601580065221875,27456602.368226405,-0.1132330740930465,-0.14753783318640995,0.035180277751077134,0.0,61.0,23004092.521550786,23235722.32578077,20391418.6758306,24537309.97956492,0.6885245901639344,1.0,-0.14867864916915777,-0.06628516012715134,0.0,1.0,0.0
0.3,0.11,0.06,0.23,0.3,"(0.3, 0.11, 0.06, 0.23, 0.3)",0.03999999999999998,0.05479212755794727,0.04812943307415547,1.1384328478070007,0.0601580065221875,27424876.135581788,-0.11252012783116283,-0.1491415858569257,0.035222278036144104,0.0,61.0,23013678.099162433,23351805.596562903,20619516.827378917,24678170.63285261,0.6885245901639344,1.0,-0.14990915610264988,-0.07342892616028111,0.0,1.0,0.0
0.29,0.14,0.04,0.25,0.28,"(0.29, 0.14, 0.04, 0.25, 0.28)",0.07999999999999999,0.0547597818876584,0.04807829377849642,1.1389709905252576,0.0601580065221875,27446009.449076522,-0.11375635117684679,-0.14842094303684805,0.03535970565223864,0.0,61.0,22995105.539962396,23219026.171912786,20401612.89845535,24531783.35086657,0.6885245901639344,1.0,-0.1495573251315194,-0.0662449843681196,0.0,1.0,0.0
0.3,0.12,0.05,0.23,0.3,"(0.3, 0.12, 0.05, 0.23, 0.3)",0.03999999999999998,0.054717846919805524,0.04767872640910135,1.1476365045975827,0.0601580065221875,27419447.213290118,-0.11122221276749822,-0.14609383414566207,0.03489719234536297,0.0,61.0,23021880.970999192,23256910.85437446,20576707.159107905,24579060.594842136,0.6885245901639344,1.0,-0.14697190067673516,-0.07104940564732833,0.0,1.0,0.0
0.3,0.14,0.04,0.25,0.27,"(0.3, 0.14, 0.04, 0.25, 0.27)",0.07999999999999999,0.054686258870426,0.04769257888174187,1.1466408433485134,0.0601580065221875,27427829.453346208,-0.11239816845253747,-0.1465436684627235,0.034914425422595305,0.0,61.0,22986715.81007981,23218836.01051398,20419713.33594285,24515697.799850136,0.6885245901639344,1.0,-0.14767450830371265,-0.0653563426559257,0.0,1.0,0.0
0.29,0.12,0.05,0.24,0.3,"(0.29, 0.12, 0.05, 0.24, 0.3)",0.04000000000000001,0.054680589689576564,0.04782802684112996,1.143275048147161,0.0601580065221875,27408986.42498304,-0.11174627719813068,-0.14698182171513968,0.03504405201404048,0.0,61.0,23013029.06863008,23253228.287705805,20587042.992822215,24585452.310374703,0.6885245901639344,1.0,-0.14785417351746186,-0.07100326089884941,0.0,1.0,0.0
0.29,0.14,0.04,0.26,0.27,"(0.29, 0.14, 0.04, 0.26, 0.27)",0.1,0.054648242378675604,0.04785693452794182,1.1419085429880302,0.0601580065221875,27417168.64070338,-0.11292230604855336,-0.14742678895650205,0.035093853323756814,0.0,61.0,22977720.645125933,23220011.753817197,20429885.54909911,24510126.34781335,0.6885245901639344,1.0,-0.14855324728471164,-0.06531718070168338,0.0,1.0,0.0
0.28,0.12,0.05,0.25,0.3,"(0.28, 0.12, 0.05, 0.25, 0.3)",0.03999999999999995,0.054643024308953514,0.04798307094520602,1.1387979808827322,0.0601580065221875,27398453.083593473,-0.11227035757122461,-0.14787178358755715,0.035223479915202,0.0,61.0,23004156.79995836,23256318.47123355,20597349.878070224,24591800.63125626,0.6885245901639344,1.0,-0.14873831007979996,-0.07095713275401067,0.0,1.0,0.0
0.3,0.13,0.04,0.23,0.3,"(0.3, 0.13, 0.04, 0.23, 0.3)",0.05999999999999999,0.05463821749809106,0.04733322353750524,1.1543312163135813,0.0601580065221875,27412787.283503853,-0.11043002765933785,-0.14382430617739034,0.03474490160943081,0.0,61.0,23030066.424460307,23279462.985212203,20463294.868420534,24548118.18480135,0.6885245901639344,1.0,-0.14482641036625082,-0.068642790036966,0.0,1.0,0.0
0.28,0.14,0.04,0.27,0.27,"(0.28, 0.14, 0.04, 0.27, 0.27)",0.11999999999999997,0.05460991773401336,0.04802693026549964,1.1370686702673278,0.0601580065221875,27406435.41664239,-0.11344645848869572,-0.1483118631638276,0.035273281224918324,0.0,61.0,22968705.266515974,23233292.50870606,20440028.94553444,24504507.85093424,0.6885245901639344,1.0,-0.14943383252154932,-0.06527803406932225,0.0,1.0,0.0
0.3,0.12,0.05,0.24,0.29,"(0.3, 0.12, 0.05, 0.24, 0.29)",0.04000000000000001,0.054607808582992856,0.04742569478410557,1.1514392953352015,0.0601580065221875,27391009.515333313,-0.11038421865442627,-0.14508667337990055,0.034716465070000126,0.0,61.0,23004778.090080246,23255323.557800326,20605400.167898513,24582205.49925372,0.6885245901639344,1.0,-0.14595633884516213,-0.07011416083793053,0.0,1.0,0.0
0.27,0.12,0.05,0.26,0.3,"(0.27, 0.12, 0.05, 0.26, 0.3)",0.05999999999999997,0.05460515082931239,0.04814380322995285,1.1342093305029874,0.0601580065221875,27387847.27748324,-0.11279445358943574,-0.1487637202080809,0.03540290781636351,0.0,61.0,22995264.186340664,23259369.14074294,20607627.768119767,24598105.524047606,0.6885245901639344,1.0,-0.14962431047253621,-0.07091102102242265,0.0,1.0,0.0
0.29,0.13,0.04,0.24,0.3,"(0.29, 0.13, 0.04, 0.24, 0.3)",0.06000000000000002,0.05460120116303546,0.04747865530265107,1.1500157452855808,0.0601580065221875,27402381.13108931,-0.11095443581991848,-0.14470396838845478,0.03492432951059232,0.0,61.0,23021143.871702023,23267676.976811185,20473597.246722795,24542689.297950182,0.6885245901639344,1.0,-0.14570124760526604,-0.0685996825788524,0.0,1.0,0.0
0.3,0.14,0.04,0.26,0.26,"(0.3, 0.14, 0.04, 0.26, 0.26)",0.1,0.054574366716480194,0.04747646424281805,1.149503603245599,0.0601580065221875,27398918.233777262,-0.11156386670524887,-0.1455486676240195,0.03464857309411347,0.0,61.0,22969302.996947937,23227733.567283172,20447966.880157284,24493991.869153276,0.6885245901639344,1.0,-0.14666956349323296,-0.0644313215117053,0.0,1.0,0.0
0.29,0.12,0.05,0.25,0.29,"(0.29, 0.12, 0.05, 0.25, 0.29)",0.04000000000000001,0.05457023596226773,0.04758220168466295,1.1468623567256497,0.0601580065221875,27380480.663845714,-0.11090914686511999,-0.14597467575166,0.03483965746462464,0.0,61.0,22995917.77270346,23265242.195019722,20615713.923735444,24588551.526524924,0.6885245901639344,1.0,-0.14683867926446534,-0.0700690289148887,0.0,1.0,0.0
0.28,0.13,0.04,0.25,0.3,"(0.28, 0.13, 0.04, 0.25, 0.3)",0.05999999999999996,0.05456387662928153,0.04762989727617927,1.145580396969911,0.0601580065221875,27391902.417199917,-0.11147885972381177,-0.14558559036705374,0.03510375741175384,0.0,61.0,23012201.00979112,23263414.17584878,20483870.858375646,24537213.24367498,0.6885245901639344,1.0,-0.14657793648753875,-0.06855659166881876,0.0,1.0,0.0
